3.2e-05
ADC1,ADC2,ADC3,ADC4,ADC5
4021.0,187.0,213.0,192.0,159.0
1928.0,190.0,175.0,293.0,1875.0
1923.0,78.0,74.0,116.0,1877.0
1919.0,40.0,40.0,56.0,1879.0
1915.0,27.0,28.0,36.0,1883.0
1911.0,23.0,24.0,29.0,1885.0
1908.0,21.0,23.0,27.0,1889.0
1904.0,20.0,23.0,26.0,1891.0
1900.0,20.0,23.0,26.0,1895.0
1897.0,20.0,22.0,25.0,1897.0
1894.0,20.0,22.0,25.0,1901.0
1889.0,20.0,22.0,25.0,1903.0
1887.0,21.0,22.0,26.0,1908.0
1885.0,20.0,22.0,25.0,1912.0
1884.0,20.0,22.0,25.0,1917.0
1881.0,20.0,22.0,25.0,1921.0
1879.0,20.0,22.0,25.0,1926.0
1883.0,21.0,23.0,26.0,1935.0
1876.0,20.0,22.0,25.0,1935.0
1873.0,20.0,22.0,25.0,1938.0
1873.0,20.0,22.0,25.0,1944.0
1872.0,20.0,22.0,25.0,1950.0
1870.0,20.0,22.0,25.0,1953.0
1869.0,19.0,21.0,24.0,1959.0
1868.0,21.0,22.0,25.0,1963.0
1867.0,20.0,22.0,25.0,1967.0
1868.0,20.0,22.0,25.0,1974.0
1867.0,20.0,22.0,25.0,1979.0
1868.0,20.0,22.0,25.0,1985.0
1868.0,20.0,22.0,25.0,1990.0
1868.0,20.0,22.0,25.0,1995.0
1869.0,20.0,22.0,25.0,2001.0
1870.0,20.0,22.0,24.0,2007.0
1872.0,20.0,22.0,25.0,2014.0
1873.0,20.0,22.0,25.0,2020.0
1873.0,20.0,22.0,24.0,2025.0
1875.0,20.0,22.0,24.0,2031.0
1877.0,19.0,21.0,24.0,2037.0
1878.0,19.0,21.0,24.0,2041.0
1879.0,19.0,21.0,23.0,2046.0
1881.0,18.0,20.0,22.0,2051.0
1884.0,17.0,19.0,20.0,2057.0
1886.0,17.0,20.0,22.0,2062.0
1889.0,17.0,19.0,21.0,2069.0
1890.0,18.0,20.0,22.0,2073.0
1896.0,18.0,20.0,22.0,2081.0
1898.0,18.0,20.0,21.0,2085.0
1902.0,18.0,20.0,21.0,2092.0
1907.0,18.0,20.0,22.0,2099.0
1910.0,18.0,20.0,22.0,2104.0
1913.0,18.0,20.0,22.0,2109.0
1918.0,18.0,20.0,22.0,2115.0
1922.0,18.0,20.0,22.0,2120.0
1925.0,18.0,20.0,22.0,2125.0
1930.0,18.0,20.0,22.0,2130.0
1936.0,18.0,20.0,22.0,2136.0
1940.0,19.0,21.0,23.0,2140.0
1944.0,19.0,21.0,23.0,2144.0
1948.0,18.0,20.0,22.0,2149.0
1954.0,19.0,21.0,23.0,2155.0
1959.0,19.0,21.0,23.0,2159.0
1963.0,18.0,21.0,23.0,2164.0
1969.0,19.0,21.0,23.0,2168.0
1974.0,19.0,21.0,23.0,2172.0
1980.0,19.0,21.0,23.0,2177.0
1984.0,18.0,20.0,22.0,2181.0
1989.0,19.0,21.0,24.0,2185.0
1995.0,19.0,21.0,23.0,2188.0
2001.0,19.0,21.0,23.0,2192.0
2004.0,18.0,20.0,22.0,2193.0
2011.0,19.0,21.0,24.0,2198.0
2017.0,19.0,21.0,22.0,2202.0
2023.0,19.0,21.0,23.0,2205.0
2028.0,18.0,20.0,22.0,2207.0
2034.0,19.0,21.0,23.0,2211.0
2041.0,19.0,21.0,23.0,2214.0
2047.0,19.0,21.0,23.0,2217.0
2051.0,18.0,20.0,22.0,2217.0
2057.0,19.0,21.0,23.0,2220.0
2063.0,18.0,21.0,23.0,2220.0
2070.0,18.0,20.0,22.0,2223.0
2074.0,18.0,20.0,22.0,2223.0
2080.0,18.0,20.0,23.0,2224.0
2086.0,18.0,20.0,22.0,2225.0
2092.0,19.0,21.0,23.0,2228.0
2096.0,18.0,20.0,22.0,2227.0
2102.0,19.0,21.0,23.0,2229.0
2110.0,19.0,21.0,23.0,2232.0
2113.0,19.0,21.0,23.0,2230.0
2119.0,19.0,21.0,23.0,2229.0
2124.0,19.0,21.0,23.0,2229.0
2130.0,18.0,21.0,22.0,2229.0
2134.0,19.0,21.0,23.0,2227.0
2139.0,19.0,21.0,23.0,2226.0
2144.0,19.0,21.0,23.0,2226.0
2149.0,18.0,20.0,22.0,2225.0
2153.0,19.0,21.0,23.0,2223.0
2158.0,18.0,20.0,22.0,2222.0
2164.0,19.0,21.0,23.0,2222.0
2166.0,18.0,20.0,22.0,2218.0
2171.0,18.0,21.0,23.0,2216.0
2175.0,19.0,21.0,23.0,2214.0
2179.0,18.0,20.0,22.0,2211.0
2184.0,19.0,21.0,24.0,2210.0
2186.0,19.0,21.0,22.0,2206.0
2190.0,19.0,21.0,23.0,2204.0
2193.0,19.0,21.0,23.0,2201.0
2197.0,19.0,21.0,23.0,2199.0
2200.0,19.0,21.0,23.0,2195.0
2203.0,19.0,21.0,23.0,2192.0
2204.0,19.0,21.0,23.0,2186.0
2209.0,19.0,21.0,24.0,2184.0
2212.0,19.0,21.0,23.0,2180.0
2215.0,19.0,21.0,24.0,2176.0
2217.0,19.0,21.0,23.0,2173.0
2219.0,19.0,21.0,24.0,2168.0
2221.0,19.0,21.0,24.0,2164.0
2223.0,19.0,21.0,24.0,2160.0
2224.0,19.0,21.0,24.0,2155.0
2225.0,19.0,21.0,24.0,2150.0
2225.0,19.0,21.0,24.0,2146.0
2222.0,19.0,21.0,23.0,2137.0
2227.0,19.0,21.0,24.0,2136.0
2228.0,19.0,21.0,23.0,2130.0
2228.0,19.0,21.0,23.0,2124.0
2228.0,19.0,21.0,23.0,2119.0
2228.0,18.0,20.0,22.0,2113.0
2228.0,19.0,20.0,23.0,2108.0
2227.0,19.0,21.0,23.0,2102.0
2227.0,19.0,21.0,23.0,2097.0
2226.0,19.0,21.0,23.0,2091.0
2224.0,18.0,20.0,22.0,2083.0
2224.0,18.0,20.0,23.0,2078.0
2223.0,19.0,21.0,23.0,2071.0
2222.0,19.0,21.0,23.0,2065.0
2220.0,18.0,20.0,22.0,2060.0
2224.0,18.0,20.0,22.0,2059.0
2216.0,18.0,21.0,23.0,2049.0
2214.0,18.0,21.0,23.0,2042.0
2211.0,18.0,20.0,22.0,2036.0
2208.0,18.0,20.0,22.0,2029.0
2206.0,18.0,20.0,22.0,2024.0
2203.0,18.0,21.0,22.0,2017.0
2199.0,18.0,20.0,22.0,2010.0
2196.0,18.0,20.0,22.0,2005.0
2193.0,18.0,20.0,22.0,1999.0
2189.0,18.0,20.0,21.0,1993.0
2185.0,19.0,21.0,22.0,1988.0
2182.0,18.0,20.0,22.0,1982.0
2177.0,18.0,20.0,21.0,1976.0
2174.0,18.0,20.0,21.0,1971.0
2170.0,17.0,20.0,21.0,1966.0
2164.0,18.0,20.0,21.0,1960.0
2160.0,18.0,20.0,22.0,1955.0
2161.0,18.0,20.0,22.0,1955.0
2150.0,17.0,19.0,21.0,1944.0
2145.0,17.0,20.0,21.0,1939.0
2140.0,17.0,19.0,21.0,1933.0
2134.0,17.0,19.0,21.0,1928.0
2129.0,17.0,19.0,21.0,1923.0
2125.0,17.0,19.0,21.0,1919.0
2118.0,17.0,19.0,20.0,1913.0
2112.0,17.0,20.0,21.0,1909.0
2106.0,17.0,19.0,21.0,1905.0
2102.0,17.0,20.0,21.0,1901.0
2096.0,17.0,19.0,21.0,1897.0
2090.0,17.0,19.0,21.0,1893.0
2084.0,17.0,19.0,21.0,1890.0
2079.0,17.0,19.0,21.0,1887.0
2072.0,17.0,19.0,21.0,1883.0
2067.0,17.0,19.0,21.0,1881.0
2060.0,17.0,19.0,20.0,1877.0
2054.0,17.0,19.0,21.0,1874.0
2048.0,17.0,20.0,21.0,1871.0
2043.0,17.0,19.0,21.0,1870.0
2037.0,17.0,20.0,21.0,1868.0
2030.0,17.0,19.0,21.0,1864.0
2024.0,17.0,20.0,21.0,1862.0
2018.0,18.0,20.0,21.0,1861.0
2012.0,17.0,19.0,21.0,1860.0
2006.0,16.0,19.0,20.0,1857.0
2001.0,17.0,19.0,21.0,1857.0
1994.0,17.0,20.0,21.0,1855.0
1988.0,18.0,20.0,21.0,1855.0
1981.0,17.0,19.0,21.0,1853.0
1976.0,17.0,19.0,20.0,1854.0
1970.0,18.0,20.0,22.0,1853.0
1965.0,18.0,20.0,21.0,1854.0
1958.0,17.0,19.0,21.0,1853.0
1953.0,17.0,20.0,21.0,1854.0
1948.0,17.0,19.0,20.0,1855.0
1943.0,18.0,20.0,21.0,1856.0
1938.0,18.0,19.0,21.0,1857.0
1933.0,17.0,19.0,20.0,1859.0
1927.0,17.0,19.0,20.0,1859.0
1924.0,17.0,20.0,21.0,1862.0
1920.0,18.0,20.0,21.0,1863.0
1915.0,17.0,19.0,21.0,1866.0
1910.0,17.0,20.0,21.0,1867.0
1906.0,17.0,19.0,21.0,1869.0
1903.0,17.0,19.0,21.0,1873.0
1899.0,18.0,20.0,21.0,1876.0
1896.0,17.0,19.0,21.0,1879.0
1892.0,18.0,20.0,22.0,1882.0
1890.0,18.0,19.0,21.0,1886.0
1886.0,17.0,19.0,21.0,1889.0
1883.0,17.0,20.0,21.0,1893.0
1880.0,17.0,19.0,21.0,1897.0
1877.0,17.0,20.0,21.0,1901.0
1875.0,17.0,19.0,21.0,1905.0
1873.0,17.0,19.0,20.0,1909.0
1869.0,17.0,19.0,20.0,1911.0
1868.0,17.0,19.0,21.0,1917.0
1867.0,17.0,20.0,21.0,1922.0
1864.0,17.0,19.0,20.0,1925.0
1863.0,17.0,19.0,21.0,1930.0
1861.0,17.0,19.0,21.0,1935.0
1860.0,17.0,19.0,20.0,1939.0
1860.0,17.0,19.0,21.0,1944.0
1856.0,17.0,19.0,20.0,1946.0
1857.0,17.0,19.0,21.0,1954.0
1857.0,17.0,19.0,21.0,1959.0
1857.0,17.0,19.0,20.0,1965.0
1856.0,17.0,19.0,21.0,1970.0
1857.0,17.0,19.0,21.0,1976.0
1857.0,17.0,19.0,20.0,1981.0
1863.0,18.0,20.0,21.0,1992.0
1859.0,17.0,19.0,20.0,1992.0
1859.0,17.0,19.0,20.0,1997.0
1861.0,17.0,19.0,21.0,2004.0
1862.0,17.0,19.0,20.0,2009.0
1864.0,17.0,19.0,21.0,2016.0
1865.0,18.0,20.0,21.0,2022.0
1867.0,18.0,19.0,21.0,2028.0
1868.0,17.0,19.0,20.0,2033.0
1871.0,17.0,19.0,20.0,2039.0
1872.0,17.0,20.0,21.0,2044.0
1875.0,18.0,20.0,21.0,2051.0
1879.0,18.0,20.0,21.0,2057.0
1881.0,17.0,19.0,21.0,2063.0
1884.0,17.0,20.0,21.0,2069.0
1886.0,18.0,20.0,21.0,2074.0
1889.0,18.0,20.0,21.0,2080.0
1890.0,17.0,19.0,21.0,2083.0
1896.0,17.0,20.0,21.0,2091.0
1901.0,18.0,20.0,22.0,2097.0
1904.0,18.0,20.0,22.0,2102.0
1908.0,18.0,20.0,22.0,2107.0
1912.0,18.0,20.0,22.0,2112.0
1918.0,20.0,22.0,26.0,2120.0
1922.0,22.0,24.0,28.0,2125.0
1929.0,23.0,25.0,29.0,2132.0
1934.0,23.0,25.0,29.0,2137.0
1938.0,23.0,24.0,29.0,2142.0
1943.0,23.0,25.0,30.0,2147.0
1946.0,23.0,25.0,29.0,2150.0
1952.0,23.0,25.0,29.0,2157.0
1956.0,22.0,24.0,28.0,2161.0
1961.0,22.0,24.0,28.0,2165.0
1967.0,22.0,24.0,28.0,2170.0
1971.0,23.0,24.0,28.0,2173.0
1976.0,22.0,24.0,28.0,2177.0
1983.0,22.0,24.0,29.0,2183.0
